Date,Open,High,Low,Close,Adj Close,Volume
2022-06-14,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,1206
2022-06-15,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,2954
2022-06-16,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,7806
2022-06-17,11.100000381469727,11.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,68498
2022-06-20,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,2145
2022-06-21,10.0,10.0,9.149999618530273,9.149999618530273,9.149999618530273,2443
2022-06-22,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,2245
2022-06-23,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,479
2022-06-24,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,3971
2022-06-27,7.550000190734863,7.550000190734863,7.550000190734863,7.550000190734863,7.550000190734863,4127
2022-06-28,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,2033
2022-06-29,6.849999904632568,6.849999904632568,6.849999904632568,6.849999904632568,6.849999904632568,3247
2022-06-30,6.550000190734863,6.550000190734863,6.550000190734863,6.550000190734863,6.550000190734863,24200
2022-07-01,6.300000190734863,6.849999904632568,6.300000190734863,6.849999904632568,6.849999904632568,26655
2022-07-04,7.0,7.150000095367432,7.0,7.150000095367432,7.150000095367432,6321
2022-07-05,7.5,7.5,6.800000190734863,6.800000190734863,6.800000190734863,22355
2022-07-06,6.699999809265137,7.099999904632568,6.5,6.900000095367432,6.900000095367432,27061
2022-07-07,7.199999809265137,7.199999809265137,6.599999904632568,6.75,6.75,6479
2022-07-08,6.449999809265137,7.050000190734863,6.449999809265137,6.75,6.75,7022
2022-07-11,6.75,7.0,6.449999809265137,6.5,6.5,8213
2022-07-12,6.75,6.75,6.199999809265137,6.699999809265137,6.699999809265137,6288
2022-07-13,6.849999904632568,6.949999809265137,6.400000095367432,6.5,6.5,5204
2022-07-14,6.800000190734863,6.800000190734863,6.199999809265137,6.650000095367432,6.650000095367432,16017
2022-07-15,6.650000095367432,6.900000095367432,6.349999904632568,6.550000190734863,6.550000190734863,15756
2022-07-18,6.449999809265137,6.800000190734863,6.25,6.599999904632568,6.599999904632568,23534
2022-07-19,6.849999904632568,6.900000095367432,6.300000190734863,6.900000095367432,6.900000095367432,34939
2022-07-20,6.949999809265137,7.199999809265137,6.949999809265137,7.199999809265137,7.199999809265137,10075
2022-07-21,7.5,7.5,6.849999904632568,7.25,7.25,17168
2022-07-22,7.349999904632568,7.349999904632568,6.900000095367432,6.900000095367432,6.900000095367432,5769
2022-07-25,6.900000095367432,6.900000095367432,6.599999904632568,6.599999904632568,6.599999904632568,7749
2022-07-26,6.300000190734863,6.900000095367432,6.300000190734863,6.300000190734863,6.300000190734863,14783
2022-07-27,6.199999809265137,6.599999904632568,6.0,6.599999904632568,6.599999904632568,28691
2022-07-28,6.849999904632568,6.849999904632568,6.300000190734863,6.300000190734863,6.300000190734863,5394
2022-07-29,6.099999904632568,6.5,6.0,6.150000095367432,6.150000095367432,8923
2022-08-01,6.300000190734863,6.449999809265137,5.900000095367432,6.449999809265137,6.449999809265137,5374
2022-08-02,6.599999904632568,6.75,6.25,6.699999809265137,6.699999809265137,3118
2022-08-03,6.5,6.849999904632568,6.5,6.800000190734863,6.800000190734863,6555
2022-08-04,6.599999904632568,6.800000190734863,6.5,6.699999809265137,6.699999809265137,2454
2022-08-05,6.699999809265137,6.699999809265137,6.400000095367432,6.449999809265137,6.449999809265137,3345
2022-08-08,6.599999904632568,6.75,6.199999809265137,6.699999809265137,6.699999809265137,6264
